contentId,locale,productFamily,productVersion,redirectPatternId,redirectUrl
ee462862,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#lab-dns
ee462862,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#lab-dns
ee712732,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#lab-delete
ee712732,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#lab-delete
ee712732,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#lab-delete
ee349265,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#license
ee349265,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#license
ee349265,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#license
dn643734,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#prepareclone
dn643734,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#prepareclone
dn643734,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#prepareclone
dn643734,all,VS,90,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#prepareclone
jj159365,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#proxy
jj159365,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#proxy
ee349264,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#rebuildwarehouse
ee349264,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#rebuildwarehouse
ee349264,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#rebuildwarehouse
ms252443,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#registerdb
